аксон.txt	Аксон	iuyi
axon.txt	Axon	jhlj
бериллий.txt	Бериллий	kuh
beryllium.txt	Beryllium	uhu
аллергия.txt		
алюминий.txt		
анемия.txt		
артерия.txt		
бензин.txt			
биом.txt		
биосфера.txt		
биотехнология.txt		
геология.txt		
геоморфология.txt		
гравитация.txt		
группа крови.txt		
калория.txt		
кома.txt		
кровь.txt		
кровяное давление.txt		
лес.txt		
песец.txt		
плод.txt		
спирты.txt		
фоссилии.txt		
химическая реакция.txt		
химический элемент.txt		
химия.txt		
холера.txt		
холестерин.txt		
эвкалипт.txt		
экосистема.txt		
электрический двигатель.txt		
электролиз.txt		
электрон.txt		
эпидемиология.txt		
эпилепсия.txt		
анаграмма.txt		
анахронизм.txt		
арабское письмо.txt		
беневенто.txt		
берилл.txt		
блог.txt		
булева алгебра.txt		
бумеранг.txt		
валентиниан i.txt		
валентиниан ii.txt		
валентиниан iii.txt		
водолей (созвездие).txt		
евангелие от иоанна.txt		
евангелие от луки.txt		
евангелие от марка.txt		
жасмин.txt		
индейки.txt		
история игрушек.txt		
кошка.txt			
allergy.txt		
aluminium.txt		
anemia.txt		
artery.txt		
gasoline.txt			
biome.txt		
biosphere.txt		
biotechnology.txt		
geology.txt		
geomorphology.txt		
gravity.txt		
blood type.txt		
calorie.txt		
coma.txt		
blood.txt		
blood pressure.txt		
forest.txt		
arctic fox.txt		
fruit.txt		
alcohol.txt		
fossil.txt		
chemical reaction.txt		
chemical element.txt		
chemistry.txt		
cholera.txt		
cholesterol.txt		
eucalyptus.txt		
ecosystem.txt		
electric motor.txt		
electrolysis.txt		
electron.txt		
epidemiology.txt		
epilepsy.txt		
anagrams.txt		
anachronism.txt		
arabic alphabet.txt		
benevento.txt		
beryl.txt		
blog.txt		
boolean algebra (structure).txt		
boomerang.txt		
valentinian i.txt		
valentinian ii.txt		
valentinian iii.txt		
aquarius (constellation).txt		
gospel of john.txt		
gospel of luke.txt		
gospel of mark.txt		
jasmine.txt		
turkey (bird).txt		
toy story.txt		
cat.txt		