корпуса	2021
речь	1791
текст	1597
отношения	1402
корпус	1257
отношение	1146
поиск	1014
семантика	867
языковой	734
перевод	576
грамматика	465
синтаксический	390
классификация	325
синтаксис	301
морфологический	293
тезаурус	212
проверка	179
распознавание	176
моделирование	170
ключевые	145
сущность	134
извлечение	132
морфология	97
информационный	92
машинный	85
корпусы	76
тематический	73
тональность	70
сегментация	68
конечный	68
обнаружение	50
орфография	45
конкорданс	38
ключевой	37
тезаурусы	37
лемматизация	24
парсинг	16
звучащий	15
сентимент	14
дистрибутивный	11
дубликаты	8
правописание	7
токенизация	6
transducer	4
преобразователь	3
именованный	1